RESULTS, 2, 11, 0x5D4200, Eleven Teen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 12, 0x5D4314, Twelve Delve, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 13, 0x5D42F2, Thirteen Wirteen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 14, 0x5DA2F5, Fourteen Forts, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 15, 0x5D410D, Fifteen Fifths, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 16, 0x5D42E0, Sixteen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 17, 0x5DA26B, Seventeen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 18, 0x5D42E7, Eighteen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 19, 0x5DA2A3, Nineteen, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
RESULTS, 2, 20, 0x5D4301, Twenty Wenty, 0, N, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 11
NEXT, 12_15_2012, 08:34:09.582
#
# MSG, Question#, Type, -, -, -, Answer, -, Points
SUMMARY, 3, MC, -, -, -, A, -, 10
# MSG, Question#, Box#, Address, Name, SpCnt, Answer, Place, Points, Bonus, Sum, Previous, Current, Standing
RESULTS, 3, 1, 0x5D24BE, Number One, 0, A, 4, 10.00, 0.00, 10.00, 170.00, 180.00, 4
RESULTS, 3, 2, 0x5D420A, Two by Two, 0, A, 5, 10.00, 0.00, 10.00, 150.00, 160.00, 5
RESULTS, 3, 3, 0x5D42F6, Three Crowd, 0, A, 2, 10.00, 0.00, 10.00, 200.00, 210.00, 2
RESULTS, 3, 4, 0x5DA31F, Four or more, 1, A, 1, 10.00, 0.00, 10.00, 200.00, 210.00, 2
RESULTS, 3, 5, 0x5DA26C, Five Alive!, 0, A, 3, 10.00, 0.00, 10.00, 250.00, 260.00, 1
RESULTS, 3, 6, 0x5DA2E2, Six, 0, B, 6, 0.00, 0.00, 0.00, 40.00, 40.00, 8
RESULTS, 3, 7, 0x5DA2EE, Seven Heaven, 0, B, 8, 0.00, 0.00, 0.00, 30.00, 30.00, 10
RESULTS, 3, 8, 0x5D431C, Eight Is Enough, 1, B, 9, 0.00, 0.00, 0.00, 120.00, 120.00, 6
